East_m,North_m,Species
40.46,66.02,SF
39.03,63.92,SF
46.01,62.3,SF
43.42,59.01,SF
45.37,56.85,SF
322.62,123.08,WH
331.6,121.35,SF
332.62,117.2,SF
328.63,114.25,SF
319.26,115.63,SF
316.13,122.98,WH
316.22,126.11,WH
304.22,122.09,WH
307.8,121.89,WH
304.3,120.38,WH
308.83,111.25,SF
293.24,124.37,WH
295.01,119.32,WH
295.52,112,SF
295.07,110.01,SF
305.27,102.29,SF
302.05,102.88,SF
300.66,103.03,SF
298.37,102.71,SF
296.1,101.27,SF
293.41,101.04,WH
291.27,101.11,WH
290.37,101.55,SF
287.56,100.48,SF
287.91,100.12,SF
286.84,100.56,SF
285.79,108.68,SF
286.97,108.15,SF
289.6,106.38,SF
291.38,105,SF
293.98,109,SF
289.49,111.58,SF
287.81,117.29,SF
282.02,118.62,SF
277.61,122.72,SF
276.5,121.32,WH
272.53,118.17,SF
276.63,116.78,SF
278.13,116.96,SF
279.93,112.66,SF
281.94,111.49,SF
279.44,109.12,SF
281.65,100.32,SF
282.32,100.18,SF
268.34,120.6,SF
270.25,112.51,SF
272.78,106.36,SF
270.23,105.52,SF
268.15,102.43,SF
269.54,100.89,SF
273.33,100.36,SF
270.04,92.63,SF
268.48,97.43,SF
265.28,101.09,SF
264.27,104.99,SF
258.75,106.16,SF
259.12,112.97,SF
261.66,115.96,SF
252.23,115.05,SF
250.59,111.89,SF
252.1,107.85,SF
255.09,103.05,WH
255.93,100.08,SF
248.32,95.9,WH
258.46,91.94,SF
258.12,91.56,SF
256.48,93.17,SF
257.16,91.12,SF
256.38,90.14,SF
255.88,90.95,SF
254.86,92.12,SF
252.29,93.15,SF
245.93,86.29,WH
207.88,79.52,SF
209.47,83.74,SF
209.38,85.24,WH
206.35,90.91,WH
211.94,94.67,SF
210.18,93.06,SF
209.05,101.64,SF
202.73,98.61,WH
197.96,85.63,WH
203.79,77.9,SF
204.37,77.18,SF
193.32,81.83,WH
193.76,82.23,WH
191.89,84.56,WH
189.41,90.1,SF
190.92,95.15,WH
189.01,94.7,WH
171.97,86.54,SF
162.29,81.54,SF
167.57,83.07,SF
163.32,73.74,WH
157.95,66.64,DF
149.63,79.38,SF
147.03,81.74,GF
140.34,70.87,SF
137.6,55.13,SF
133.91,60.68,WH
136.82,65.97,WH
137.32,70.7,SF
130.03,73.59,SF
138.47,78.04,SF
136.82,79.16,SF
126.19,62.53,DF
122.6,61.59,SF
121.52,72.65,SF
112.65,65.65,SF
108.73,67.02,WH
107.21,63.18,SF
103.36,59.75,DF
107.75,53.51,SF
98.12,62.76,SF
97.19,63.61,SF
91.42,38,SF
91.83,48.16,SF
84.4,46.46,WH
83.19,54.72,DF
87.57,56.72,SF
91.74,57.1,SF
93.94,60.98,SF
81.21,56.21,SF
80.35,51.84,SF
78.03,50.59,SF
79.1,49.99,SF
76.85,46.34,WH
77.38,43.08,SF
82.2,43.27,SF
79.82,39.79,SF
80.17,36.53,SF
78.4,36.66,SF
73.76,38.35,SF
71.86,49.01,SF
67.59,48.5,SF
68.81,53.33,SF
71.19,53.28,SF
66.6,56.8,SF
72.18,28.56,DF
62.64,42.6,SF
60.98,49.83,SF
59.88,52.26,WH
64.88,50.59,SF
52.74,54.47,SF
54.94,47.27,SF
56.71,28.94,SF
58.32,23.74,SF
56.53,28.98,SF
52.6,30.94,SF
300.2,196.01,SF
290.07,192.93,WH
286.2,207.55,WH
295,201.74,WH
296.56,203.3,WH
315.47,208.12,WH
310.83,207.24,DF
314.68,206.76,WH
319.02,211.65,WH
320.32,208.16,WH
319.96,212.6,WH
272.71,190.18,WH
272,189.51,WH
268.75,204.09,WH
265.97,196.77,WH
264.66,192.34,WH
257.28,195.11,WH
254.34,188.33,WH
246.12,185.22,WH
238.64,188.45,WH
235.46,183.2,WH
220.52,175.39,WH
220.68,177.49,WH
219.6,187.75,DF
217.98,178.47,WH
215.08,181.05,WH
215.32,174.99,DF
209.28,171.38,SF
205.35,170.44,SF
206.68,174.08,SF
211.8,176.33,SF
205.03,179.62,DF
202.08,178.39,SF
202.63,173.91,SF
201.07,170.73,SF
197.4,168.77,SF
196.84,168.85,SF
190.88,174.48,SF
191.21,173.06,SF
191.15,165.05,SF
189.87,163.72,SF
186.28,170.66,SF
183.9,172.47,SF
184.33,174.97,SF
184.19,176.14,SF
188.03,175.47,SF
171.32,170.86,SF
170.2,167.25,SF
161.65,168.02,DF
170.29,160.61,SF
180.01,160.82,SF
158.49,163.5,SF
157.87,158.44,SF
152.4,156.36,DF
151.36,156.43,DF
150.82,157.85,SF
151.05,157.95,SF
148.42,158.4,WH
145.62,157.97,WH
147.73,153.82,DF
149.41,151.98,SF
144.5,148.45,SF
140.75,154.83,SF
138.46,157.17,SF
136.46,151.99,SF
138.18,149.71,DF
138.19,148.24,SF
132.82,145.61,SF
130.8,147.07,SF
129.35,147.15,WH
129.74,150.9,SF
128.39,150.62,SF
129.57,152.98,GF
132.66,155.61,DF
133.61,154.62,WH
134.01,157.21,WH
253.48,113.35,SF
332.31,141.2,DF
341.51,138.03,SF
338.45,133.84,SF
344.16,128.76,WH
345.39,128.96,WH
345.81,128.04,WH
354.49,134.77,SF
352.96,132.64,SF
343,144.2,WH
346.63,144.62,DF
348.28,146.34,SF
333.77,149.88,SF
335.02,154.6,WH
329.67,159.78,SF
321.71,159.42,SF
324.22,167.74,SF
328.33,171.84,SF
329.97,169.52,SF
332.6,167.68,SF
333.5,166.46,SF
340.22,172.87,SF
339.93,174.28,SF
346.21,167.62,SF
342.05,165.71,SF
347.06,163.75,SF
340.7,163.55,SF
348.85,160.22,SF
344.06,159.53,SF
338.26,153.1,WH
345.03,151.12,SF
347.1,151.38,WH
340.57,150.98,WH
344.39,177.17,SF
342.78,177.06,SF
335.62,176.99,DF
342.85,183.63,DF
341.75,186.63,SF
337.37,185.62,WH
332.65,186.07,WH
334.93,192.33,DF
337.67,194.61,SF
331.95,198.99,SF
336.13,201.36,WH
335.79,202.88,SF
332.46,202.76,SF
329.24,202.96,SF
325.23,201.72,WH
326.55,195.37,WH
324.58,192.72,WH
328.67,190.47,WH
323.72,183.72,SF
324.09,177,DF
321.83,177.32,SF
322.67,173.24,SF
316.41,180.59,WH
315.66,189.6,WH
317.4,189.45,WH
310.66,198.52,WH
308.04,200.47,WH
328.07,226.03,WH
327.6,225.99,SF
325.89,226,SF
324.7,229.1,SF
329.64,232.09,SF
319.38,220.61,SF
316.23,228.23,SF
307.96,219.84,SF
305.07,220.4,DF
300.11,221.81,DF
293.5,220.66,SF
290.19,215.97,WH
285.77,212.51,WH
284.02,211.43,WH
281.33,210.15,WH
279.36,218.65,WH
276.69,218.12,WH
273.65,215.79,WH
275.21,209.69,WH
265,210.15,SF
263.62,210.96,WH
258.74,209.96,WH
255.55,211.07,WH
255.38,205.84,WH
259.17,201.79,SF
251.13,209.3,SF
246.56,196,DF
238.41,202.24,WH
235.12,203.77,WH
234.52,199.53,WH
237.02,192.14,WH
224.77,197.86,WH
222.49,201.02,WH
215.37,189.2,WH
214.5,190.3,WH
214.83,196.12,WH
211.03,190.06,DF
208.44,191.83,SF
208.81,189.53,WH
206.13,177.77,SF
206.08,181.65,SF
201.89,192.62,WH
198.19,192.34,SF
197.49,188.43,SF
196.61,182.93,SF
187.13,187.86,SF
189.68,187.51,SF
195.55,180.46,SF
189.28,181.74,SF
177.72,186.52,SF
181.76,179.81,SF
179.86,177.88,SF
176.84,177.26,SF
173.5,175.5,SF
176.51,179.82,SF
173.83,179.59,SF
175.54,181.15,SF
175.54,182.01,SF
172.19,181.72,SF
167.83,180.98,WH
163.63,180.89,SF
164.76,174.42,SF
165.23,174.46,SF
165.68,173.35,SF
161.51,175.16,SF
158.96,170.31,SF
158.53,172.94,SF
159.96,179.35,SF
156.4,177.22,DF
158.27,179.51,SF
151.33,173.92,SF
150.07,165,SF
143.83,164.14,SF
141.96,163.17,SF
146.48,172.05,WH
143.29,170.83,WH
138.82,173.46,SF
139.22,171.38,DF
134.13,171.85,SF
133.2,169.46,WH
132.49,169.12,SF
131.17,167.76,WH
132.39,167.42,WH
135.82,166.32,WH
137.8,165.66,SF
139.31,163.46,WH
127.48,157.58,SF
126.21,161.13,WH
127.65,167.72,SF
124.57,166.75,WH
125,142.33,DF
124.25,142.56,DF
123.49,142.98,SF
123.39,144.63,SF
123.29,147.21,SF
126.32,151.31,WH
123.32,151.65,WH
122.48,155.4,WH
120.16,159.9,WH
112.43,161.3,SF
112.07,156.84,WH
117.6,147.98,DF
111.06,143.47,SF
108.79,145.95,SF
107.32,154.63,WH
110.65,153.2,SF
106.31,162,DF
101.76,160.92,SF
101.21,158.64,SF
104.74,154.72,SF
101.62,146.57,SF
101.9,143.48,WH
100.68,140.75,SF
99.46,142.22,SF
98.36,148.78,SF
100.58,154.06,SF
93.65,156.15,SF
97,158.78,WH
97.83,135.07,SF
99.51,139.75,SF
87.61,132.53,WH
85.85,134.8,SF
89.95,137.64,SF
90.26,138.39,SF
94.54,143.66,SF
96.51,144.5,WH
92.27,144.77,SF
87.21,141.29,SF
85.87,139.02,SF
86.14,137.92,SF
84.52,142.45,SF
85.28,142.23,SF
83.29,142.57,SF
78.84,137.7,WH
76.82,137,SF
77.19,135.93,SF
73.53,134.08,SF
74.47,132.59,SF
71.41,131.53,SF
75.96,130.07,SF
76.8,128.67,WH
74.59,126.04,SF
84.27,131.11,SF
71.01,134.43,SF
69.34,137.2,SF
68.04,138.1,SF
67.88,139.08,SF
66.63,140.02,SF
64.89,145.69,WH
69.14,147.45,SF
69.77,148.65,SF
71.71,152.26,SF
74.81,153.03,WH
73.31,147.62,DF
72.29,149.04,SF
70.06,146.39,SF
72.19,146.08,SF
73.87,141.79,WH
74.38,137.6,SF
77.54,141.47,SF
78.57,143.52,SF
80.56,143.85,SF
84.26,142.77,SF
87.58,145.23,SF
89.32,147.95,SF
87.86,148.56,SF
85.22,148.05,SF
85.23,149.57,SF
96.92,142.42,WH
95.78,149.58,SF
94.94,150.63,SF
95.08,147.33,SF
83.66,155.17,SF
81.02,155.6,SF
80.99,154.8,SF
79.79,154.63,SF
79.45,153.66,WH
80.4,152.06,SF
76.13,153.88,WH
75.84,153.87,WH
76.52,149.22,WH
76.28,148.85,WH
76.69,147.87,WH
76.54,146.79,WH
79.69,150.49,SF
68.41,125.25,SF
70.68,128.21,SF
66.65,128.08,SF
64.63,129.24,WH
69.83,132.76,SF
63.39,133.86,SF
61.1,125.24,SF
60,121.25,SF
58.87,124.59,SF
54.91,128.95,SF
54.09,128.56,SF
50.83,125.95,SF
52.29,122.3,WH
47.26,114.13,SF
49.9,121.77,WH
50.35,124.25,DF
48.69,125.15,SF
46.06,125.44,SF
44.68,124.27,SF
44.59,125.62,SF
45.98,127.45,SF
48.24,127.26,SF
51.12,127.48,SF
48.71,128.81,SF
49.41,130.45,SF
50.55,132.47,SF
49.7,135.46,SF
47.58,137.15,SF
42.93,132.62,SF
42.26,133.82,SF
41.29,137.33,DF
41.86,138.52,DF
43.4,138.64,DF
43.61,140.83,DF
39.56,140.99,DF
48.63,142.22,WH
48.35,142.42,SF
50.66,140.87,SF
52.87,137.58,SF
56.81,135.55,WH
54.64,141.7,WH
57.56,139.74,SF
60.87,145.96,WH
61.51,143.58,DF
62.34,139.62,WH
62.5,138.68,WH
62.52,137.64,WH
65.33,135.96,SF
59.44,139.2,SF
43.7,116.02,SF
42.28,118.32,SF
42.59,117.19,SF
41.12,123.57,SF
41.96,124.12,SF
42.05,124.4,SF
33.45,121.91,DF
32.06,118.15,SF
33.31,117.42,DF
32.75,117.04,DF
40.47,114.68,WH
39.51,115.57,SF
38.51,115.64,DF
39.5,112.73,SF
37.3,113.45,SF
36.76,115.13,DF
36.04,112.16,SF
34.63,112.64,SF
34.89,110.04,SF
29.56,113.72,DF
25.37,113.05,WH
24.15,111.88,WH
24.96,108.74,SF
22.53,109.65,SF
18.34,108.14,DF
15.8,109.92,GF
13.31,115.38,DF
24.39,117.85,DF
22.7,118.52,DF
16.07,119.37,SF
17.89,121,DF
15.3,121.73,WH
10.21,123.74,DF
9.42,131.64,DF
9.51,129.7,WH
11.33,130.55,DF
13.27,131.24,DF
12.36,129.02,WH
13.01,128.9,WH
17.42,131.57,DF
14.62,127.02,DF
14.77,125.34,DF
18.79,130.21,DF
19.25,131.45,SF
16.64,124.41,DF
21.69,125.47,DF
26.38,127.54,DF
26.18,131.73,DF
25,131.13,DF
24.18,127.7,WH
23.21,131.94,SF
18.35,134.97,DF
19.09,134.38,SF
19.86,135.92,DF
27.79,135.91,DF
32.17,135.42,DF
34.68,140.15,SF
35.56,140.74,DF
36.56,140.44,SF
36.03,131.57,DF
36.71,130.49,DF
35.23,130.19,DF
37.43,130.05,DF
37.24,130,DF
32.49,129.47,SF
29.07,132.69,WH
207.24,113.76,SF
209.5,121.21,DF
207.89,122.67,DF
209.27,125.32,DF
200.55,126.29,WH
202.61,132.42,DF
214.67,130.42,WH
212.91,116.84,WH
222.2,114.66,DF
221.78,127.67,WH
225.74,132.9,WH
224.67,134.34,WH
229.25,137.36,WH
230.8,130.05,DF
233.61,126.88,WH
201.39,140.14,DF
203.12,147.15,DF
201.5,147.69,WH
205.35,151.73,DF
215.57,153.97,SF
221.49,144.17,DF
223.65,164.79,WH
224.9,158.39,WH
227.83,155.19,WH
225.35,146.73,WH
227.43,162.31,DF
231.29,151.62,WH
241.99,169.33,WH
251.51,173.16,DF
253.79,165.31,WH
249.62,157.38,DF
239.92,153.73,SF
241.65,147.52,WH
256.69,149.74,DF
263,135.76,DF
265.07,129.02,DF
235.24,133.19,WH
250.39,139.51,WH
254.16,134.42,WH
264.69,159.44,WH
268.51,157.59,SF
279.8,159.4,DF
289.49,148.62,WH
292.29,133.22,WH
268.72,152.6,DF
282.79,147.4,WH
273.03,184.65,DF
283.12,165.34,WH
279.56,163.22,WH
260.56,174.53,DF
256.83,177.59,WH
269.74,172.02,WH
175.96,123.73,DF
178.17,124.41,DF
183.89,125.04,DF
193.85,131.35,DF
198.77,133.06,DF
182.4,102.03,DF
188.39,118.98,SF
191.76,105.67,DF
191.49,107.13,SF
184.03,157.03,DF
182.12,151.56,SF
193.21,146.88,WH
181.92,133.38,DF
168.82,125.15,DF
143.91,139,DF
150.96,146.76,DF
155.89,146.96,DF
161.08,126.55,SF
142.35,131.46,DF
144.57,123.29,SF
160.63,116.2,DF
169.6,117.34,WH
168.71,94.91,DF
149.79,91.52,DF
146.74,98.39,DF
159.14,96.22,DF
162.99,102.04,DF
169.3,99.48,DF
117.05,94.02,WH
121.46,81.85,GF
128.36,79.81,DF
134.44,87.32,DF
121.68,106.16,DF
123.44,95.67,WH
131.84,103.56,GF
132.33,96.88,DF
133.38,91.92,DF
112.46,123.64,WH
106.98,124.63,WH
115.6,131.83,DF
134.29,127.47,DF
132.8,126.14,DF
138.11,117.13,DF
131.26,117.24,WH
122.43,119.56,DF
116.54,110.86,DF
114.06,114.82,DF
110.24,72.89,DF
107.54,75.48,DF
100.96,73.21,DF
101.62,95.3,GF
98.6,122.15,WH
92.38,120.06,DF
100.5,114.33,DF
105.16,107.84,DF
77,121.31,DF
96.98,98.03,DF
74.37,98.04,DF
72.76,102.54,WH
75.61,110.54,SF
58.36,114.1,DF
55.39,110.38,WH
72.34,90.59,DF
66.04,90.44,DF
63.34,95.18,WH
61.61,94.47,WH
62.43,90.76,DF
87.62,82.39,WH
82.65,62.42,DF
82.64,72.35,SF
74.35,77.7,DF
66.77,78.53,SF
322.26,138.83,WH
313.81,151.66,WH
318.68,159.91,GF
317.39,162.23,GF
312.08,159.03,SF
303.38,156.97,WH
302.26,156.83,WH
311.25,144.78,DF
302.2,139.55,WH
302.24,145.57,WH
296.33,157.08,WH
295.72,161.49,WH
293.19,130.77,WH
270.8,123.49,DF
201.29,101.44,WH
163.72,89.72,SF
315.81,170.13,SF
308.49,171.7,DF
308.83,184.22,DF
306.01,188.1,WH
303.47,180.28,WH
301.84,171.05,WH
223.84,107.88,WH
206.48,133.07,WH
211.2,132.02,WH
228.76,111.22,SF
230.48,117.65,SF
222.2,122.52,SF
198.84,154.48,WH
199.06,159.36,SF
203.28,155.52,SF
207,164.7,SF
206.38,162.1,SF
207.52,158.6,SF
209.53,159,SF
209.04,153.22,SF
211.78,158.01,SF
213.97,160.6,SF
215.25,160.31,SF
212.58,139.34,SF
214.03,146.32,SF
215.58,149.71,WH
218.26,167.2,SF
227.32,153.8,WH
225.7,148.11,WH
234.96,162.85,SF
252.59,178.22,WH
252.41,162.8,WH
243.44,159.12,WH
236.49,146.33,WH
244.9,146.42,WH
252.04,150.49,SF
253.14,153.78,SF
257.76,154.72,SF
259.02,154.37,SF
262.08,146.56,SF
262.56,138.29,SF
263.86,131.93,SF
266.63,124.65,SF
262.13,124.67,SF
259.87,123.81,SF
257.41,120.11,SF
253.4,121.87,SF
252.45,118.81,SF
252.48,122.12,WH
250.14,118.83,WH
242.88,116.25,SF
241.51,119.24,SF
236.73,134.72,WH
236.24,135.8,WH
239.79,136.89,WH
243.51,136.09,SF
245.18,132.76,WH
242.23,138.46,WH
252.63,124.38,SF
256.52,131.5,SF
260.52,131.81,SF
261,158.34,SF
264.51,157.3,SF
272.25,159.55,SF
274.8,159.31,SF
283.43,154.06,SF
278.58,152.45,SF
288.59,153.55,SF
288.36,149.69,WH
280.6,131.45,SF
275.95,131.38,SF
271.92,136.6,SF
271.67,140.83,SF
264.94,141.22,SF
261.21,153.3,SF
274.96,154.55,SF
286.11,175.66,SF
283.74,172.38,SF
277.86,168.34,SF
275.03,161.78,WH
262.84,163.23,SF
264.7,173.3,WH
277.48,183.74,WH
277.37,180.6,SF
274.63,179.45,SF
271.14,170.34,SF
269.48,172.17,WH
274.33,175.86,WH
274.08,176.16,WH
172.63,122.74,SF
194.83,102.11,WH
182.13,100.63,SF
178.27,104.04,WH
178.96,108.9,SF
176.44,112.08,SF
175.34,115.24,SF
174.01,114.75,SF
174.92,117.47,SF
171.44,120.57,SF
176.28,120.11,SF
178.26,117.57,SF
179.22,120.19,SF
182.37,119.19,SF
182.97,116.18,WH
196.41,129.19,SF
199.42,119.24,SF
201.5,106.55,SF
194.38,112.14,SF
166.86,147.32,SF
174.63,151.41,SF
187.59,153.04,SF
191.59,157.11,SF
195.99,151.2,SF
192.39,132.98,SF
187.68,136.66,WH
180.56,127.37,SF
176.02,136.47,WH
171.58,139.98,SF
164.55,144.3,SF
160.49,147.55,SF
170.14,145.01,SF
173.92,143.23,SF
176.74,147.83,SF
178.04,145.42,SF
183.04,144.05,SF
143.87,142.11,WH
156.05,142.49,SF
154.6,140.65,SF
160.69,140.36,WH
162.65,137.02,SF
164.05,134.78,SF
159.19,132.42,SF
166.74,125.59,SF
161.38,127.88,SF
153.41,124.11,SF
140.63,115.89,SF
140.57,122.37,SF
135.99,129.07,SF
137.33,130.29,SF
138.47,137.97,SF
148.04,134.84,SF
148.32,133.74,SF
155.45,130.89,SF
153.79,130.25,SF
151.83,130.64,SF
150.24,128.32,SF
146.53,123.78,SF
154.91,116.09,SF
175.45,101.32,WH
176.05,98.73,GF
165.93,94.03,GF
164.53,95.85,GF
158.84,92.42,SF
149.01,97.91,SF
145.95,103.01,SF
151.61,106.84,SF
151.72,102.86,SF
160.74,103.86,GF
169.71,100.38,SF
158.98,109.2,SF
113.91,103.6,SF
115.66,104.13,SF
120.63,104.05,SF
117.43,99.21,SF
114.34,97.48,GF
119.75,82.3,SF
122.08,78.63,SF
123.9,78.92,SF
126.47,86.35,SF
128.25,85.14,SF
139.35,87.75,GF
142.91,100.4,SF
138.93,104.32,GF
138.23,109.86,SF
133.7,111.08,SF
123.62,107.5,SF
122.65,100.49,GF
123.05,97.56,WH
125.54,98.56,SF
127.84,101.32,SF
132.46,99.99,SF
111.58,118.91,SF
112.83,124.04,SF
104.27,128.82,GF
114.3,133.66,SF
123.19,137.91,SF
129.96,135.26,SF
132.43,130.33,SF
134.53,130,SF
133.66,117.46,SF
124.71,116.24,SF
120.9,115.49,SF
112.53,109.98,GF
117.07,124.12,SF
118.78,122.84,SF
123,127.62,GF
123.82,126.4,SF
124.64,123.57,SF
121.99,125.12,SF
122.73,122.6,SF
109.77,101.21,SF
113.5,78.6,WH
109.84,82.62,SF
105.22,75.99,SF
100.38,74.07,SF
96.55,72.36,WH
97.1,72.76,WH
99.2,69.44,SF
97.58,69.05,SF
92.22,75.47,SF
95.52,75.42,SF
94.87,78.99,DF
99.54,90.08,SF
100.83,91.52,SF
106.99,88.9,SF
107.77,92.19,SF
107.73,99.9,SF
106.34,102.19,WH
113.6,85.84,SF
108.82,113.82,SF
104.11,116.48,SF
98.73,124.67,WH
101.45,126.23,SF
94.67,118.07,SF
100.96,117.3,SF
105.2,108.58,DF
106.8,106.67,GF
107.01,107.5,SF
102.85,108.35,SF
102.78,110.1,SF
95.71,107.57,GF
94.21,107.09,GF
97.93,112.3,SF
91.85,114.25,SF
88.07,113.74,SF
80.99,118.58,GF
80.95,116.69,SF
83.31,112.45,SF
83.83,107.77,GF
83.25,102.42,SF
87.4,100.85,SF
90.28,102.13,GF
97.71,102.57,SF
87.52,92.42,SF
101.12,101.4,SF
85.49,92.04,SF
82.67,93.71,SF
78.5,97.9,SF
69.83,108.45,SF
80.57,107.34,SF
78.98,110.73,SF
75.32,111.49,SF
78.15,113.96,SF
70.23,119.02,SF
68.1,119.09,SF
64.33,117.46,SF
61.25,112.89,SF
57.26,111.86,SF
50.99,112.67,SF
48.09,110.26,SF
49.31,110.02,GF
48.14,108.65,SF
52.01,97.2,SF
56.97,96.9,SF
56.65,95.26,SF
60.02,100.48,SF
58.21,103.21,SF
60.91,102.55,SF
65.77,99.51,SF
64.77,99.71,SF
63.05,101.67,SF
59.25,103.77,SF
62.74,105.46,SF
62.21,110.26,SF
66.16,107.47,SF
65.27,104.88,SF
69.41,101.45,SF
68.77,89.28,SF
64.55,88.69,SF
63.88,94.84,WH
59.36,91.45,SF
58.6,90.18,SF
58.31,93.72,DF
52.36,94.31,SF
82.41,87.77,DF
81.45,84.75,SF
88.28,74.18,SF
91.6,73.33,SF
85.6,69.49,WH
80.3,63.83,WH
77.64,62.73,SF
79.22,64.88,SF
73.38,76.33,SF
72.62,77.27,WH
82.44,76.28,SF
73.56,81.48,SF
72.9,81.35,SF
72.8,79.36,SF
70.03,82.22,SF
70.57,84.83,SF
73.04,85.71,SF
73.6,85.2,SF
75.81,86.35,SF
68.27,87.4,SF
65.48,80.55,SF
68.93,72.03,SF
72.7,64.97,SF
64.75,59.72,SF
62.66,68.2,WH
62.49,75.58,SF
315.84,148.81,SF
319.19,152.23,SF
312.04,150.24,SF
314.94,152.63,WH
304.58,133.91,SF
297.06,133.94,WH
304.39,142.4,WH
289.23,128.09,SF
276.1,125.57,SF
192.83,97.78,WH
163.5,90.03,SF
150.46,85.81,SF
146.06,82.99,SF
103.75,69.14,SF
314.56,177.84,SF
